id,species,class,weapon,draw_type,season_dates,unit_group,hunter_choice_number_ke,quota,season_start_date,season_end_date
147,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021","061, 062, 064, 066 - 068",Hunter Choice Number 347,800,2021-10-05,2021-10-20
148,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 21, 2021 - Nov 05, 2021","071 - 079, 091",Hunter Choice Number 348,200,2021-10-21,2021-11-05
149,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021","071 - 079, 091",Hunter Choice Number 349,850,2021-10-05,2021-10-20
150,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 17, 2021 - Oct 30, 2021",101 - 109,Hunter Choice Number 350,850,2021-10-17,2021-10-30
152,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 31, 2021 - Nov 08, 2021",101 - 109,Hunter Choice Number 351,150,2021-10-31,2021-11-08
153,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 01, 2021 - Oct 16, 2021",101 - 109,Hunter Choice Number 352,850,2021-10-01,2021-10-16
154,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 21, 2021 - Nov 05, 2021",111 - 113,Hunter Choice Number 353,25,2021-10-21,2021-11-05
155,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021",111 - 113,Hunter Choice Number 354,270,2021-10-05,2021-10-20
156,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 21, 2021 - Nov 05, 2021","114, 115",Hunter Choice Number 355,5,2021-10-21,2021-11-05
157,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021","114, 115",Hunter Choice Number 356,60,2021-10-05,2021-10-20
158,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 21, 2021 - Nov 05, 2021",131 - 134,Hunter Choice Number 357,30,2021-10-21,2021-11-05
159,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021",131 - 134,Hunter Choice Number 358,300,2021-10-05,2021-10-20
160,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 21, 2021 - Nov 05, 2021",141 - 145,Hunter Choice Number 359,25,2021-10-21,2021-11-05
161,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021",141 - 145,Hunter Choice Number 360,230,2021-10-05,2021-10-20
162,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 21, 2021 - Nov 05, 2021",151 - 156,Hunter Choice Number 361,15,2021-10-21,2021-11-05
163,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021",151 - 156,Hunter Choice Number 362,160,2021-10-05,2021-10-20
164,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 21, 2021 - Nov 05, 2021",161 - 164,Hunter Choice Number 363,35,2021-10-21,2021-11-05
165,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 20, 2021",161 - 164,Hunter Choice Number 364,290,2021-10-05,2021-10-20
167,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 31, 2021 - Nov 08, 2021",171 - 173,Hunter Choice Number 365,45,2021-10-31,2021-11-08
170,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 16, 2021",171 - 173,Hunter Choice Number 366,280,2021-10-05,2021-10-16
171,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 05, 2021",181 - 184,Hunter Choice Number 367,150,2021-10-05,2021-11-05
172,Mule Deer,Antlered,Any Legal Weapon,Resident,"Nov 05, 2021 - Nov 30, 2021","194, 196",Hunter Choice Number 368,60,2021-11-05,2021-11-30
173,Mule Deer,Antlered,Any Legal Weapon,Resident,"Nov 05, 2021 - Nov 30, 2021","201, 204",Hunter Choice Number 369,20,2021-11-05,2021-11-30
174,Mule Deer,Antlered,Any Legal Weapon,Resident,"Nov 05, 2021 - Nov 30, 2021","202, 205 - 208",Hunter Choice Number 370,40,2021-11-05,2021-11-30
